 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 c_custkey |       c_name       |    revenue    |  c_acctbal  |     n_name     |                c_address                 |     c_phone     |                                                      c_comment                                                       
-----------+--------------------+---------------+-------------+----------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------------------------
      2491 | Customer#000002491 | 168266.000000 | 9386.500000 | GERMANY        | XP0voc aiTvW kFrt0J1HtHV                 | 17-111-683-1091 | slowly. furiously unusual excuses are above the slyly ironic deposits. slyly unusual instruction
      7144 | Customer#000007144 | 150046.000000 | 4781.470215 | IRAN           |  dreZ0y4cZ,BVUjXfiee9                    | 20-779-949-8425 |  foxes wake after the furiously final sheav
     11638 | Customer#000011638 | 145544.000000 | 4511.879883 | IRAQ           | 3MuencSwMrHyUHCZu3W,lDSfI2UXpydX         | 21-796-198-6264 |  are furiously across the slyly idle courts. ironic accounts integrate. evenly final excuses cajole about the re
      6406 | Customer#000006406 | 142803.000000 | 3830.679932 | VIETNAM        | lL3dzJv7lVqtqz,DiuUHcvH1EcpM9X8jba       | 31-342-422-4630 | es would haggle after the final pinto beans. slyly ironic deposits sleep quickly. asymptotes h
     10342 | Customer#000010342 | 137492.000000 | 4781.629883 | JORDAN         | RjGfU4XCR3K,9NY6b0vZzhxB,xY6HsGs3o3Qz    | 23-575-535-6387 |  deposits. slyly even requests wake permanently among the express, final patterns? blithely even pain
      1588 | Customer#000001588 | 137207.000000 | 8372.339844 | ARGENTINA      | TOCHdXfBa1nhv26OP                        | 11-700-437-5542 | onic asymptotes sleep carefully-- furiously regular accounts against the quickly pending pinto beans mold boldl
     13348 | Customer#000013348 | 134889.000000 | 962.169983  | JORDAN         | CSevkw9HUl9sMTwnXh,                      | 23-634-883-6617 | ndencies. deposits are idly blithely bold packages. regular foxes x-ray
     10399 | Customer#000010399 | 131050.000000 | 8448.169922 | ALGERIA        | UJTIoRBudVK                              | 10-563-478-7478 | ly regular ideas! furiously ironic accounts cajole above the dependencies. thinly ironic theodolites c
      5011 | Customer#000005011 | 129507.000000 | 2216.340088 | VIETNAM        | IXPCpHZK1FKCRuMS9Xptz3047xCxFGpxfyH      | 31-819-205-1473 | old packages cajole fluffily after the ironic instr
     12226 | Customer#000012226 | 129369.000000 | 1850.479980 | INDONESIA      | 0TLtScO,dEAAqIq3b1xcdnVVN6XyPcFyh3WtU    | 19-265-644-3796 | ruthless packages. regular packages doubt slyly quickly final packages. bold frets kindle. carefully bol
      9670 | Customer#000009670 | 128804.000000 | 6287.919922 | SAUDI ARABIA   | BQI9kdPj 3X5LfPtSBukp7GLMJl              | 30-707-381-3725 | ironic requests nag final ins
      7940 | Customer#000007940 | 127799.000000 | -370.670013 | ROMANIA        | 8jHgxxnfxByzAaz VkcM Au8s                | 29-692-789-4629 | e slyly even platelets. carefully regular Tiresi
     10456 | Customer#000010456 | 127721.000000 | 524.020020  | KENYA          | SzBCsDPf,zVV3kRv1yheAaLYtrMBO3ZI         | 24-761-892-2291 | riously bold dolphins. bold, special accounts cajole. slyly daring 
      2614 | Customer#000002614 | 124704.000000 | 663.380005  | ROMANIA        | QUx,ui6mwYzo9bUl1dduuHmmtdORxpI8YY9hKP   | 29-740-430-9216 | telets sleep carefully special asymptotes. slyly bol
      9533 | Customer#000009533 | 123192.000000 | 6388.470215 | MOROCCO        | h,xEGCvHsCq8wDwcwXdHK6Db2PxZgW           | 25-777-257-4836 | y final theodolites across the quickly final requests sleep quickly fluffily even packag
       847 | Customer#000000847 | 119375.000000 | 4822.080078 | UNITED KINGDOM | oR9VbMI LkR2GUv4MRmylhb                  | 33-645-447-3944 | haggle carefully. pending, bold foxes play carefully ironic frets: slyly unusual ins
      9296 | Customer#000009296 | 115934.000000 | 3282.629883 | MOROCCO        | piVhPdbOxbZj,5pZJjQOx,ghP3rn             | 25-769-669-3622 |  blithely regular packages. blithely express theodolites wake. regular hockey players believe quickly regular r
     10280 | Customer#000010280 | 115748.000000 | 5116.580078 | CHINA          | zchYC1aQJa2sl9                           | 28-403-758-6160 | lar, ironic excuses use blithely. furiou
     12247 | Customer#000012247 | 111185.000000 | 3882.719971 | ETHIOPIA       | U1 XtAmEpblv                             | 15-872-882-2439 | ently among the express, express foxes. furiously final accounts use boldly. quickly unusual packages cajole quick
      5413 | Customer#000005413 | 107843.000000 | 9780.419922 | ROMANIA        | lOoN GkcfHnX5I9DcHOwpsBrBvMBcq2O9q DpS2g | 29-199-524-8413 | o the blithely bold pinto beans sleep blithely about the special packages-- unusual, pendin
     11551 | Customer#000011551 | 107798.000000 | 9623.139648 | JORDAN         | 8UMWxUydGp7o                             | 23-602-259-5401 |  the silently regular theodolites. pinto beans around the never bold packages doze carefully in place of the bol
