 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 c_custkey |       c_name       |    revenue    |   c_acctbal   |     n_name     |                c_address                 |     c_phone     |                                                      c_comment                                                       
-----------+--------------------+---------------+---------------+----------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------------------------
       715 | Customer#000000715 | 119779.000000 | 0.000000      | ROMANIA        | 9qLvF42uxUarKl4I 2pEKOMNJmo8Ro5EK        | 29-500-408-6392 | hins boost quickly. quickly regular epitaphs haggle fluffily quickly bold pinto beans. regular
       602 | Customer#000000602 | 114390.000000 | 0.000000      | JORDAN         | NCryKIpG3W,FDV2                          | 23-434-900-7213 | nstructions. asymptotes above the forges are against the carefully 
       989 | Customer#000000989 | 97477.000000  | 0.000000      | IRAN           | pKuixWbH6XZFJY0uZjGi0oRaH1Xl             | 20-646-819-6827 |  accounts. fluffily regular requests use carefully after the furiously special instructions! slyly
      1441 | Customer#000001441 | 88862.000000  | 1.000000      | UNITED KINGDOM | u0YYZb46w,pwKo5H9vz d6B9zK4BOHhG jx      | 33-681-334-4499 | nts haggle quietly quickly final accounts. slyly regular accounts among the sl
        35 | Customer#000000035 | 87801.000000  | 0.000000      | PERU           | TEjWGE4nBzJL2                            | 27-566-888-7431 | requests. special, express requests nag slyly furiousl
       880 | Customer#000000880 | 80036.000000  | 18199.000000  | INDIA          | ogwHmUUFa1QB69pAoYAAoB0rjbdsVpAQ552e5Q,  | 18-763-990-8618 | regular requests. regular deposits ar
       434 | Customer#000000434 | 75679.000000  | 0.000000      | CANADA         | 6LGAf2hv4MB5MJhfvNsg                     | 13-325-443-1474 | lly final Tiresias. blithely regular ideas nag stealthily about the furiously 
      1168 | Customer#000001168 | 75474.000000  | 1.000000      | PERU           | gmAnpwPPg0LX4                            | 27-608-883-2632 | ses run according to the regular instructions. slyly regular foxes around the furiously ironic theodolites use fl
       959 | Customer#000000959 | 73607.000000  | 0.000000      | EGYPT          | O FdrkZxCx PK                            | 14-546-329-6898 | press accounts wake busily after the furiously final theodolites: fluffily final deposits above the carefully iro
